input,damage,guard,level,startup,active,recovery,onBlock,invuln
2D,25×2,Low,4,9,2(3)3,22,-8/+5/+8/+10,-
2H,48,Mid,5,5,6,29,-16,-
2K,12,Low,1,8,4,4,+2/-2/+1/+3,-
2P,10,Mid,1,5,3,6,+1/-2/+1/+3,-
2S,30,Low,3,9,6,12,-4/+2/+5/+7,-
3H,28×2,Mid,5,11,8(2)2,31,-14/+7/+10/+12,-
5D,22,High,3,30,8,6,0,-
5H,42,Mid,5,11,2,33,-16/+7/+10/+12,-
5K,16,Mid,2,6,5,9,-2/+0/+3/+5,-
5P,12,Mid,1,5,4,6,0/-2/+1/+3,-
6H,64,Mid,5,18,2,32,-15/+7/+10/+12,-
6K,30,Mid,4,16,4,16,-3/+5/+8/+10,7~13F Upper Body
6P,25,Mid,3,11,6,10,-2/+2/+5/+7,"1~4F Upper Body | 5~16F Above Knees"
cS,26,Mid,3,6,3,8,+3/+2/+5/+7,-
fS,34,Mid,4,8,3,21,-7/+5/+8/+10,-
jD,44,High/Air,3,8,7,14+5 after landing,-,-
jH,40,High/Air,3,13,5,21,-,-
jK,20,High/Air,2,8,6,8,-,-
jP,12,High/Air,1,6,5,9,-,-
jS,32,High/Air,3,10,2,23,-,-
