input,damage,guard,level,startup,active,recovery,onBlock,invuln
2D,30,Low,3,7,12,12,-10,-
2H,40,Mid,4,12,4,20,-7,-
2K,14,Low,1,5,4,6,0,-
2P,8,Mid,1,4,4,5,1,-
2S,25,Low,3,9,2,13,-1,-
3H,36×2,Mid,5,23,"8, 1",3,15,-
5D,15,High,3,25,4,22,-12,-
5H,42,Mid,5,10,6,12,1,-
5K,12,Low,1,5,8,7,-5,-
5P,8,Mid,1,5,4,6,0,-
6H,43,Mid,5,20,4,17,2,-
6K,36,Mid,4,17,2,11,4,-
6P,30,Mid,3,9,5,15,-6,"1~6F Upper Body | 7~13F Above Knees"
cS,28,Mid,4,7,2,18,-3,-
fS,28,Mid,3,10,6,19,-11,-
jD,40,All,3,38,13,Total 20+11 after landing,-,-
jH,38,High/Air,3,13,4,23,-,-
jK,16,High/Air,1,7,8,8,-,-
jP,12,High/Air,1,6,6,6,-,-
jS,28,High/Air,3,7,3,21,-,-
