input,damage,guard,level,startup,active,recovery,onBlock,invuln
2D,34,Low,5,7,15,12,-8,-
2H,42,Low,5,13,2,22,-5,5~14F Below Knees
2K,18,Low,2,6,2,11,-1,"3~4F, 12~15F Feet"
2P,14,Mid,1,4,2,5,3,-
2S,32,Mid,3,8,6,15,-7,5~9F Upper Body
5[D],-,-,-,-,-,Total 34,-,-
5D,22,High,3,24,3,20,-9,-
5H,45,Mid,5,13,5,18,-4,-
5K,22,Mid,2,6,3,8,1,-
5P,16,Mid,1,5,4,4,2,-
6[K],-,-,-,-,-,Total 27+3 after landing,-,8~Until landing Feet
6H,40,Mid,5,21,6,13,0,-
6K,22,High/Air,3,21,5,1+3 after landing,5,8~21F Lower Body
6P,45,Mid,5,18,6,14,-1,"1~6F Upper Body | 7~23F Above Knees"
cS,30,Mid,3,7,4,10,0,-
fS,30,Mid,3,13,2,8,4,-
j2K,22,High/Air,3,13,3,16,-,-
jD,40,High/Air,3,7,5,19+5 after landing,-,-
jH,36,High/Air,3,14,5,7,-,-
jK,22,High/Air,3,6,5,6,-,-
jP,10,High/Air,1,5,3,7,-,-
jS,16×4,High/Air,3,3,2(2)2(4)2(2)2,6,-,-
