links,links-href,concept,definition
?,https://glossary.infil.net/?l=rand,Hover Dash,"A forward dash that doesn't move your character along the ground, but rather sends them into the air at a sharp angle. It's also commonly called a ""Morrigan Dash"" after the Darkstalkers character who often uses this style of approach. Hover dashes are scary, because they can grant very fast air actions without needing to jump, which tends to lead to scary overhead mixups. The downside, though, is that it can be more difficult for these characters to cover horizontal distance if they want to get closer. Every time they dash forward, they have to go into the air."
?,https://glossary.infil.net/?l=rand,Snowball Character,"A character that becomes more deadly the more often they hit you. These characters tend to start the match at their weakest, and once they get their momentum going, they will just get more powerful, like the proverbial snowball rolling down a hill.   This is sometimes tied to a specific resource; for example, Killer Instinct's Spinal starts the match without any of his unique ""skull"" resource, and earns skulls as he hits you. He can then use these skulls to make his offense safer, open up new mixups, and deny you precious resources to fight back, all while continuing to build more skulls. If you can't stem the tide early and let Spinal build up, you might just get totally flattened."
?,https://glossary.infil.net/?l=rand,Yomi Counter,"A mechanic for avoiding throws in Fantasy Strike. Rather than try to throw tech by pressing buttons, instead you're asked to input nothing — no directions on your joystick and no button presses at all. If someone tries to throw you in this state, you will do damage by automatically throwing them instead. Like most throw systems, you can use common option selects like delay tech (in this case by alternating between blocking and not blocking) to make it easier to avoid being thrown."
?,https://glossary.infil.net/?l=rand,Edge,"The edge of a stage or platform in a platform fighter. People will often say ""ledge"" as well, but this specifically means the edge of the stage (not a mid-stage platform). If you get launched off the stage, the stage edge will be the closest part of the stage you can aim for during your recovery, and in Smash Bros., you can grab onto any ledge and pull yourself up as part of your recovery efforts.  Stopping people from grabbing the edge effectively is a huge part of edge-guarding, the cat-and-mouse game of a launched opponent trying to safely return to the stage. In some games you can edge hog and in others you can ledge trump, but the focus is usually around the edge because grabbing it gives your character a short period of invincibility, which is pretty useful for not getting smoked."
?,https://glossary.infil.net/?l=rand,Dragon Punch,"A powerful rising uppercut attack that is great for anti-air and is usually invincible, making it great for reversal attacks. A dragon punch, or ""DP"" as it is commonly abbreviated, is a big catch-all term for any motion attack (usually a DP motion) that sees the character attack towards the air with their fist, usually leaving their feet.  They were first seen with Ryu and Ken's shoryuken attacks in Street Fighter II, and as such usually most shotos have a version of it, but this style of attack is now extremely common in dozens of fighting games and hundreds of fighting game characters. This term is basically synonymous with shoryuken and uppercut, although ""DP"" is the most common just because it's catchy and short."
?,https://glossary.infil.net/?l=rand,Unsafe,"A move that, when it is blocked, will let your opponent hit you for free before you can block or otherwise avoid their move. It is the opposite of being safe. You might also say the move is punishable. Moves that are unsafe are usually risky to use, but they tend to be pretty strong... maybe they're highly damaging, able to start a long combo, or invincible in some way.  Much like measuring whether a move is safe, the inner workings of being unsafe is a race between the block stun of a move and the recovery of a move. If the recovery takes a long time and the opponent leaves block stun much earlier, they'll have enough time to wind up a move and hit before the recovery completes. Knowing whether a move is safe or unsafe when it is blocked is one of the first steps to using frame data well."
?,https://glossary.infil.net/?l=rand,Force Function,"A unique ability for each character in Under Night In-Birth, done by pressing B+C. Depending on the character, it might be an attack, a throw, a new movement option, a dodge, or something else entirely. Force Functions are powerful, so they will cost you one square of your GRD gauge to use (or, if you don't have any GRD, it will build one square for your opponent). It's best to think of them like a cool special move that isn't mapped to a motion command, a bit like Street Fighter V's V-Skill."
?,https://glossary.infil.net/?l=rand,RTSD,"Rush That Shit Down. A phrase commonly used by American fighting game legend Alex Valle to describe games, life, and everything in between. I suppose it can be roughly translated to ""just do it"", but really, it's taken on a life of its own at this point."
?,https://glossary.infil.net/?l=rand,Reflect,"A defensive mechanic in Dragon Ball FighterZ that pushes your opponent away if you can successfully parry an attack. It's performed by pressing back + the S button while in neutral, and if your opponent doesn't attack, you'll whiff the attempted parry and most likely get punished.  The end result is similar to pushblocking, although you can't do this technique while blocking like in other team games, and it's quite a bit riskier because you leave yourself open if you're wrong. But if the opponent did attack, you'll create some much needed space, and you can even cancel the end of a successful reflect with some attacks, which might give you a punish opportunity of your own!"
?,https://glossary.infil.net/?l=rand,Getup,"A set of system-wide actions you can take in Mortal Kombat 11 as you are waking up. You can do a ""Getup Attack"", which is effectively a reversal attack; this costs 1 Defensive Meter and 1 Offensive Meter and you can pick between an invincible but low damage attack, or an attack that starts a combo but isn't invincible. You can also tech roll either backwards or forwards for just 1 Defensive Meter, although like most rolls, this can be thrown if your opponent predicts it. You can also do a Delayed Getup (for free), which keeps your back on the ground a little longer and might mess up your opponent's attack timing."
